name,type,variant
Eggless Chocolate Overload Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Coconut & Pineapple,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Coconut & Pineapple,Ice Cream,MINI_TUB_200ML
Eggless Coconut & Pineapple Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Eggless Coconut & Pineapple Ice Cream,Ice Cream,FAMILY_TUB_700ML
Eggless Coconut & Pineapple Ice Cream,Ice Cream,FAMILY_TUB_725ML
Eggless Coconut & Pineapple Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_160GMS
Eggless Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_200ML
Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Eggless Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_TUB_300ML
Eggless Coconut & Pineapple Ice Cream (Navratri),Ice Cream,MINI_TUB_200ML
Eggless Coconut & Pineapple Ice Cream (navratri),Ice Cream,REGULAR_TUB_300ML
Eggless Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Eggless Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_700ML
Eggless Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML
Eggless Coffee Mascarpone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_160GMS
Eggless Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_200ML
Eggless Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Eggless Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_300ML
Eggless Coffee Mascarpone Ice Cream (navratri),Ice Cream,FAMILY_TUB_725ML
Eggless Coffee Mascarpone Ice Cream (navratri),Ice Cream,REGULAR_TUB_300ML
Eggless Design Your Indulgence Duo,Combo,DUO_200ML_200ML
Eggless Design Your Indulgence Duo Ice Creams,Combo,DUO_200ML_200ML
Eggless Fig & Orange,Ice Cream,MINI_TUB_200ML
Eggless Fig & Orange Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Fig & Orange Ice Cream,Ice Cream,MINI_TUB_200ML
Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Fig & Orange Ice Cream,Ice Cream,REGULAR_TUB_300ML
Eggless Fig & Orange Ice Cream (navratri),Ice Cream,REGULAR_TUB_300ML
Eggless Just Chocolate,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Just Chocolate,Ice Cream,MINI_TUB_200ML
Eggless Kulfi Inspired Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Milk Chocolate,Ice Cream,PERFECT_PLENTY_200GMS
Eggless Milk Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML
