name,type,variant
"Eggless Chocolate Overload ',",DESSERT,JUNIOR_SCOOP
"Eggless Chocolate Overload )',",DESSERT,160_GMS
"Eggless Chocolate Overload )',",DESSERT,160_GMS
"Eggless Chocolate Overload )',",DESSERT,200_ML
"Eggless Chocolate Overload )',",DESSERT,300_ML
"Eggless Chocolate Overload )',",DESSERT,120_GM
"Eggless Chocolate Overload ',",DESSERT,REGULAR_SCOOP
"Eggless Chocolate Overload )',",DESSERT,220_GMS
"Eggless Chocolate Overload )',",DESSERT,300_ML
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,500_GMS
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,700_ML
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,725_ML
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,60_GM
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,160_GMS
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,160_GMS
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,200_ML
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,120_GM
"Eggless Coconut & Pineapple Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,220_GMS
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,300_ML
"Eggless Coconut & Pineapple Ice Cream  )',",ICE_CREAM,300_ML
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,160_GMS
"Eggless Coconut & Pineapple Ice Cream  )',",ICE_CREAM,200_ML
"Eggless Coconut & Pineapple Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Eggless Coconut & Pineapple Ice Cream )',",ICE_CREAM,300_ML
"Eggless Coffee Mascarpone Ice Cream )',",ICE_CREAM,725_ML
"Eggless Coffee Mascarpone Ice Cream ',",ICE_CREAM,FAMILY_FEAST
"Eggless Coffee Mascarpone Ice Cream )',",ICE_CREAM,500_GMS
"Eggless Coffee Mascarpone Ice Cream )',",ICE_CREAM,700_ML
"Eggless Coffee Mascarpone Ice Cream )',",ICE_CREAM,725_ML
"Eggless Coffee Mascarpone Ice Cream ',",ICE_CREAM,JUNIOR_SCOOP
"Eggless Coffee Mascarpone Ice Cream )',",ICE_CREAM,160_GMS
"Eggless Coffee Mascarpone Ice Cream )',",ICE_CREAM,160_GMS
